$0;1753064332960374200;1.14;KIEKER-SINGLETON;4180L-212561-W;1;false;0;NANOSECONDS;0
$1;1753064360559708900;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;676806581500772380;1753064360559700900;1753064360559704700;4180L-212561-W;16;2
$1;1753064360559772000;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;676806581500772380;1753064360559766800;1753064360559768900;4180L-212561-W;17;2
$1;1753064360559835900;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;676806581500772380;1753064360559830600;1753064360559832900;4180L-212561-W;18;2
$1;1753064360559873800;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;676806581500772380;1753064360559868800;1753064360559870800;4180L-212561-W;19;2
$1;1753064360559910300;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;676806581500772380;1753064360559905400;1753064360559907300;4180L-212561-W;20;2
$1;1753064360559946200;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;676806581500772380;1753064360559941200;1753064360559943100;4180L-212561-W;21;2
$1;1753064360588076600;public java.util.List org.mybatis.jpetstore.service.CatalogService.getProductListByCategory(java.lang.String);<no-session-id>;676806581500772380;1753064360331968500;1753064360588063200;4180L-212561-W;1;1
$1;1753064360591230700;public org.mybatis.jpetstore.domain.Category.<init>();<no-session-id>;676806581500772380;1753064360591208900;1753064360591223600;4180L-212561-W;23;2
$1;1753064360591775100;public void org.mybatis.jpetstore.domain.Category.setCategoryId(java.lang.String);<no-session-id>;676806581500772380;1753064360591727000;1753064360591751400;4180L-212561-W;24;2
$1;1753064360591998200;public void org.mybatis.jpetstore.domain.Category.setName(java.lang.String);<no-session-id>;676806581500772380;1753064360591975600;1753064360591992900;4180L-212561-W;25;2
$1;1753064360592179100;public void org.mybatis.jpetstore.domain.Category.setDescription(java.lang.String);<no-session-id>;676806581500772380;1753064360592159100;1753064360592174100;4180L-212561-W;26;2
$1;1753064360593531000;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.service.CatalogService.getCategory(java.lang.String);<no-session-id>;676806581500772380;1753064360588257900;1753064360593494500;4180L-212561-W;22;1
$1;1753064360593577500;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewCategory();<no-session-id>;676806581500772380;1753064360331474500;1753064360593573000;4180L-212561-W;0;0
$1;1753064361798202800;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772381;1753064361798192400;1753064361798196800;4180L-212561-W;0;0
$1;1753064361798328700;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getKeyword();<no-session-id>;676806581500772382;1753064361798323100;1753064361798325500;4180L-212561-W;0;0
$1;1753064361798556800;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772383;1753064361798551100;1753064361798553400;4180L-212561-W;0;0
$1;1753064361812801900;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;676806581500772384;1753064361812778200;1753064361812794500;4180L-212561-W;0;0
$1;1753064361830600600;public java.lang.String org.mybatis.jpetstore.domain.Category.getName();<no-session-id>;676806581500772385;1753064361830577100;1753064361830593600;4180L-212561-W;0;0
$1;1753064361835014400;public java.util.List org.mybatis.jpetstore.web.actions.CatalogActionBean.getProductList();<no-session-id>;676806581500772386;1753064361834990100;1753064361835006700;4180L-212561-W;0;0
$1;1753064361854023400;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772387;1753064361853995300;1753064361854015400;4180L-212561-W;0;0
$1;1753064361854256600;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772388;1753064361854246400;1753064361854250000;4180L-212561-W;0;0
$1;1753064361855230200;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;676806581500772389;1753064361855197500;1753064361855222300;4180L-212561-W;0;0
$1;1753064361855467200;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772390;1753064361855459200;1753064361855462300;4180L-212561-W;0;0
$1;1753064361855620500;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772391;1753064361855613900;1753064361855616600;4180L-212561-W;0;0
$1;1753064361856176600;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;676806581500772392;1753064361856166500;1753064361856171400;4180L-212561-W;0;0
$1;1753064361856339200;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772393;1753064361856332000;1753064361856334900;4180L-212561-W;0;0
$1;1753064361856465300;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772394;1753064361856458500;1753064361856461000;4180L-212561-W;0;0
$1;1753064361856882600;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;676806581500772395;1753064361856875200;1753064361856878400;4180L-212561-W;0;0
$1;1753064361857031800;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772396;1753064361857025600;1753064361857028000;4180L-212561-W;0;0
$1;1753064361857142200;public java.lang.String org.mybatis.jpetstore.domain.Product.getProductId();<no-session-id>;676806581500772397;1753064361857135900;1753064361857138300;4180L-212561-W;0;0
$1;1753064361857537800;public java.lang.String org.mybatis.jpetstore.domain.Product.getName();<no-session-id>;676806581500772398;1753064361857529900;1753064361857533100;4180L-212561-W;0;0
$1;1753064364282188100;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772399;1753064364282177500;1753064364282181900;4180L-212561-W;0;0
$1;1753064364282276900;public void org.mybatis.jpetstore.web.actions.AbstractActionBean.setContext(net.sourceforge.stripes.action.ActionBeanContext);<no-session-id>;676806581500772400;1753064364282270600;1753064364282273400;4180L-212561-W;0;0
$1;1753064364282306900;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772401;1753064364282302000;1753064364282303800;4180L-212561-W;0;0
$1;1753064364282349500;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772402;1753064364282344500;1753064364282346500;4180L-212561-W;0;0
$1;1753064364282475300;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772403;1753064364282469800;1753064364282472000;4180L-212561-W;0;0
$1;1753064364282566100;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772404;1753064364282560600;1753064364282562800;4180L-212561-W;0;0
$1;1753064364282597400;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772405;1753064364282592500;1753064364282594500;4180L-212561-W;0;0
$1;1753064364282791700;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772406;1753064364282785700;1753064364282788300;4180L-212561-W;0;0
$1;1753064364283223900;public void org.mybatis.jpetstore.web.actions.CatalogActionBean.setProductId(java.lang.String);<no-session-id>;676806581500772407;1753064364283194600;1753064364283218900;4180L-212561-W;0;0
$1;1753064364283447000;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772408;1753064364283440500;1753064364283443200;4180L-212561-W;0;0
$1;1753064364289600800;public org.mybatis.jpetstore.domain.Item.<init>();<no-session-id>;676806581500772409;1753064364289567500;1753064364289588700;4180L-212561-W;2;2
$1;1753064364290289800;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290251200;1753064364290282900;4180L-212561-W;3;2
$1;1753064364290390300;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290383600;1753064364290386200;4180L-212561-W;4;2
$1;1753064364290491300;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290485200;1753064364290487700;4180L-212561-W;5;2
$1;1753064364290547900;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290542200;1753064364290544600;4180L-212561-W;6;2
$1;1753064364290634100;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290628400;1753064364290630700;4180L-212561-W;7;2
$1;1753064364290787000;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290778700;1753064364290782500;4180L-212561-W;8;2
$1;1753064364290895000;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290888500;1753064364290890900;4180L-212561-W;9;2
$1;1753064364290952200;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364290945900;1753064364290948200;4180L-212561-W;10;2
$1;1753064364291669200;public void org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String);<no-session-id>;676806581500772409;1753064364291624600;1753064364291662300;4180L-212561-W;11;2
